sound_id,category_audio,categories_use,recommended_noise,mix_ratio_layer1,mix_ratio_layer2,needs_review,source_note,TH_C_score,DN_S_score,SS_R_score,SM_F_score,HB_M_score,profile_score_note
ambience_air_inside_bunker_sea_ambience_from_outside_02,ocean,"sleep_deep,falling_asleep",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: bunker+from_outside = заглушено/muffled → deep sleep],5.5,7.6,5.8,5.2,6.3,TH_C=5.5[sp5.0/u4.5/n6/d9.0 neutral] | DN_S=7.6[sp5.0/u9.0/n10/d9.0 neutral] | SS_R=5.8[sp5.0/u3.8/n9/d9.0 neutral] | SM_F=5.2[sp5.0/u3.8/n6/d9.0 neutral] | HB_M=6.3[sp5.0/u6.0/n8/d9.0 neutral]
ambience_residential_abandoned_building_gentle_wind_distant_boat_engine_distant_traffic_people_pass_by_helicopter_distant_sea_athens_greece,ocean,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: helicopter+people+traffic = transients → daily; noise за маскиране на urban],6.4,3.6,7.7,5.8,7.8,"TH_C=6.4[sp4.0/u7.5/n9/d7.5 neutral] | DN_S=3.6[sp1.0/u3.0/n8/d7.5 -helicopter] | SS_R=7.7[sp10.0/u4.5/n8/d7.5 +distant,+gentle] | SM_F=5.8[sp2.5/u7.5/n9/d7.5 neutral] | HB_M=7.8[sp10.0/u6.8/n5/d7.5 +gentle,+distant] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]"
ambience_seaside_dalian_beach_waves_people_footsteps_distant_boats_china,ocean,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: people_footsteps = daytime beach → daily],6.8,5.0,7.1,7.4,6.8,TH_C=6.8[sp5.0/u7.5/n9/d7.5 neutral] | DN_S=5.0[sp4.5/u3.0/n8/d7.5 neutral] | SS_R=7.1[sp8.5/u4.5/n8/d7.5 +distant] | SM_F=7.4[sp6.5/u7.5/n9/d7.5 +wave] | HB_M=6.8[sp7.5/u6.8/n5/d7.5 +distant] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]
ambience_underwater_sea_wave_ilo_aquatic_water_burble_waves_back_forth_microphone_blocking_feet,ocean,"sleep_deep,meditation",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: underwater = bass-heavy → pink_lowpass_4000 балансира top-end],6.0,6.5,5.8,6.7,5.5,TH_C=6.0[sp5.0/u3.8/n10/d9.0 neutral] | DN_S=6.5[sp6.5/u6.0/n6/d9.0 neutral] | SS_R=5.8[sp6.0/u4.5/n6/d9.0 neutral] | SM_F=6.7[sp7.5/u4.5/n7/d9.0 +wave] | HB_M=5.5[sp5.0/u4.5/n6/d9.0 neutral]
ambience_underwater_waves_constant_deep_hits,ocean,"meditation,relaxation",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: constant_deep_hits = повтарящи transients → не sleep],6.4,7.7,6.8,7.4,5.8,TH_C=6.4[sp5.0/u5.2/n9/d10.0 neutral] | DN_S=7.7[sp10.0/u3.8/n8/d10.0 +deep] | SS_R=6.8[sp6.0/u6.0/n8/d10.0 neutral] | SM_F=7.4[sp6.5/u6.8/n9/d10.0 +wave] | HB_M=5.8[sp5.0/u6.0/n5/d10.0 neutral]
ambience_urban_black_sea_distant_waves_roar_condominium_neighborhod_black_sea_batumi_georgia_01,ocean,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: urban+condominium_neighborhood = градски фон → daily],6.8,5.8,6.2,8.0,6.1,"TH_C=6.8[sp4.5/u7.5/n9/d9.0 neutral] | DN_S=5.8[sp6.0/u3.0/n8/d9.0 neutral] | SS_R=6.2[sp6.0/u4.5/n8/d9.0 +distant,-roar] | SM_F=8.0[sp7.5/u7.5/n9/d9.0 +wave] | HB_M=6.1[sp5.5/u6.8/n5/d9.0 +distant,-roar]"
ambience_urban_black_sea_distant_waves_roar_condominium_neighborhod_black_sea_batumi_georgia_02,ocean,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: urban context — variant of _01],6.8,5.8,6.2,8.0,6.1,"TH_C=6.8[sp4.5/u7.5/n9/d9.0 neutral] | DN_S=5.8[sp6.0/u3.0/n8/d9.0 neutral] | SS_R=6.2[sp6.0/u4.5/n8/d9.0 +distant,-roar] | SM_F=8.0[sp7.5/u7.5/n9/d9.0 +wave] | HB_M=6.1[sp5.5/u6.8/n5/d9.0 +distant,-roar]"
ambience_urban_black_sea_distant_waves_roar_condominium_neighborhod_black_sea_batumi_georgia_03,ocean,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: urban context — variant of _01],6.8,5.8,6.2,8.0,6.1,"TH_C=6.8[sp4.5/u7.5/n9/d9.0 neutral] | DN_S=5.8[sp6.0/u3.0/n8/d9.0 neutral] | SS_R=6.2[sp6.0/u4.5/n8/d9.0 +distant,-roar] | SM_F=8.0[sp7.5/u7.5/n9/d9.0 +wave] | HB_M=6.1[sp5.5/u6.8/n5/d9.0 +distant,-roar]"
birds_sea_seagulls_distant_several_gentle_waves_02,ocean,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: seagulls = bright transients → не за sleep],7.8,5.0,7.8,8.0,7.9,"TH_C=7.8[sp7.0/u7.5/n9/d9.0 neutral] | DN_S=5.0[sp4.0/u3.0/n8/d9.0 -seagull] | SS_R=7.8[sp10.0/u4.5/n8/d9.0 +distant,+gentle] | SM_F=8.0[sp7.5/u7.5/n9/d9.0 +wave] | HB_M=7.9[sp10.0/u6.8/n5/d9.0 +gentle,+distant] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]"
genetic_waves_joseph_beg,ocean,"meditation,relaxation",none,0.85,0.15,false,"[FROM_RESEARCH: Bible v3 ред 554 идентифицира Joseph Beg sea-related файлове като electronic ambient music, НЕ реални waves; music → noise=none]",6.1,5.2,6.7,7.7,6.7,TH_C=6.1[sp5.0/u5.2/n8/d9.0 neutral] | DN_S=5.2[sp5.0/u3.8/n6/d9.0 neutral] | SS_R=6.7[sp6.0/u6.0/n8/d9.0 neutral] | SM_F=7.7[sp7.5/u6.8/n9/d9.0 +wave] | HB_M=6.7[sp5.0/u6.0/n10/d9.0 neutral]
